车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量
G80,上海虹桥,2026-07-24,14:04,2026-07-24,14:04,0.0,0.0,36.5,27.9,0.6
G80,南京南,2026-07-24,15:05,2026-07-24,15:10,-3.0,295.0,27,27,0.0
G81,徐州东,2026-07-24,16:19,2026-07-24,16:21,,626.0,32.6,23.5,4.2
G81,商丘,2026-07-24,17:05,2026-07-24,17:07,0.0,796.0,30,30,0.0
G81,开封北,2026-07-24,17:41,2026-07-24,17:43,-1.0,934.0,39.0,28.3,1.4
G81,郑州东,2026-07-24,18:04,,,0.0,986.0,31.0,22.6,10.7
,,,,,,,,,,
G3726,广州,2026-07-24,08:42,2026-07-24,08:42,0.0,0.0,33.8,26.5,0.1
G3726,佛山西,2026-07-24,09:04,2026-07-24,09:16,0.0,26.0,11.2,-0.6,0.2
G3726,肇庆东,2026-07-24,09:35,2026-07-24,09:37,0.0,69.0,26,26,0.2
G3726,贺州,2026-07-24,10:24,2026-07-24,10:26,0.0,254.0,29,29,0.0
G3726,阳朔,2026-07-24,10:58,2026-07-24,11:04,0.0,372.0,33.3,23.6,1.0
G3726,桂林西,2026-07-24,11:24,2026-07-24,11:28,0.0,437.0,35.3,24.7,0.1
G3726,都匀东,2026-07-24,12:43,2026-07-24,12:48,,734.0,30.6,23.9,1.6
G3726,贵阳东,2026-07-24,13:23,2026-07-24,13:31,0.0,850.0,25.2,20.1,5.7
G3726,遵义,2026-07-24,14:18,2026-07-24,14:20,0.0,973.0,24,24,0.0
G3726,娄山关南,2026-07-24,14:34,2026-07-24,14:36,0.0,1003.0,29.5,22.3,1.4
G3726,重庆西,2026-07-24,15:43,2026-07-24,15:52,0.0,1194.0,39.2,30.3,0.1
G3726,重庆北,2026-07-24,16:17,2026-07-24,16:22,0.0,1224.0,39.2,30.3,0.1
G3726,梁平南,2026-07-24,17:14,2026-07-24,17:19,0.0,1404.0,34.7,24.1,0.0
G3726,万州北,2026-07-24,17:40,2026-07-24,17:44,,1469.0,37.2,27.6,0.0
G3726,云阳,2026-07-24,17:57,2026-07-24,17:59,0.0,1507.0,32.6,26.3,3.8
G3726,巫山,2026-07-24,18:33,,,0.0,1622.0,37.2,26.1,0.0
,,,,,,,,,,
G1,北京南,2026-07-24,06:30,2026-07-24,06:30,0.0,0.0,29.7,22.4,1.6
G1,沧州西,2026-07-24,07:18,2026-07-24,07:20,-1.0,210.0,36.3,24.5,0.0
G1,德州东,2026-07-24,07:45,2026-07-24,07:47,0.0,314.0,30.0,21.0,14.1
G1,曲阜东,2026-07-24,08:34,2026-07-24,08:36,,527.0,30,30,0.0
G1,南京南,2026-07-24,10:13,2026-07-24,10:15,0.0,1015.0,27,27,0.0
G1,苏州北,2026-07-24,10:59,2026-07-24,11:01,4.0,1229.0,34.6,26.4,0.5
G1,上海虹桥,2026-07-24,11:24,,,-2.0,1310.0,36.5,27.9,0.6
,,,,,,,,,,
D1,北京西,2026-07-24,17:58,2026-07-24,17:58,0.0,0.0,27,27,0.0
D1,石家庄,2026-07-24,20:24,2026-07-24,20:30,0.0,281.0,30.0,22.9,4.0
D1,郑州,2026-07-24,23:59,2026-07-25,00:05,-6.0,707.0,31.0,22.6,10.7
D1,武昌,2026-07-25,04:44,2026-07-25,04:50,-16.0,1243.0,32.9,24.0,0.5
D1,岳阳,2026-07-25,06:47,2026-07-25,06:51,-8.0,1458.0,34.2,27.5,0.0
D1,长沙,2026-07-25,08:16,,,-15.0,1605.0,40.1,27.3,0.0
,,,,,,,,,,
