车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量
G80,上海虹桥,2026-08-09,14:04,2026-08-09,14:04,0.0,0.0,26,26,0.3
G80,南京南,2026-08-09,15:05,2026-08-09,15:10,0.0,295.0,25,25,2.3
G81,徐州东,2026-08-09,16:19,2026-08-09,16:21,,626.0,26,26,0.2
G81,商丘,2026-08-09,17:05,2026-08-09,17:07,2.0,796.0,24,24,11.8
G81,开封北,2026-08-09,17:41,2026-08-09,17:43,0.0,934.0,22,22,1.9
G81,郑州东,2026-08-09,18:04,,,-1.0,986.0,22,22,1.5
,,,,,,,,,,
G3726,广州,2026-08-09,08:42,2026-08-09,08:42,0.0,0.0,36,36,0.0
G3726,佛山西,2026-08-09,09:04,2026-08-09,09:16,0.0,26.0,37,37,0.0
G3726,肇庆东,2026-08-09,09:35,2026-08-09,09:37,0.0,69.0,34,34,0.0
G3726,贺州,2026-08-09,10:24,2026-08-09,10:26,0.0,254.0,34,34,0.0
G3726,阳朔,2026-08-09,10:58,2026-08-09,11:04,0.0,372.0,34,34,0.0
G3726,桂林西,2026-08-09,11:24,2026-08-09,11:28,0.0,437.0,34,34,0.0
G3726,都匀东,2026-08-09,12:43,2026-08-09,12:48,,734.0,28,28,1.2
G3726,贵阳东,2026-08-09,13:23,2026-08-09,13:31,0.0,850.0,29,29,0.0
G3726,遵义,2026-08-09,14:18,2026-08-09,14:20,0.0,973.0,31,31,0.0
G3726,娄山关南,2026-08-09,14:34,2026-08-09,14:36,0.0,1003.0,29,29,0.0
G3726,重庆西,2026-08-09,15:43,2026-08-09,15:52,0.0,1194.0,36,36,0.0
G3726,重庆北,2026-08-09,16:17,2026-08-09,16:22,-4.0,1224.0,36,36,0.0
G3726,梁平南,2026-08-09,17:14,2026-08-09,17:19,0.0,1404.0,30,30,0.0
G3726,万州北,2026-08-09,17:40,2026-08-09,17:44,,1469.0,32,32,0.0
G3726,云阳,2026-08-09,17:57,2026-08-09,17:59,0.0,1507.0,30,30,0.2
G3726,巫山,2026-08-09,18:33,,,0.0,1622.0,32,32,0.2
,,,,,,,,,,
G1,北京南,2026-08-09,06:30,2026-08-09,06:30,0.0,0.0,34,34,0.0
G1,沧州西,2026-08-09,07:18,2026-08-09,07:20,0.0,210.0,30,30,0.0
G1,德州东,2026-08-09,07:45,2026-08-09,07:47,0.0,314.0,29,29,0.0
G1,曲阜东,2026-08-09,08:34,2026-08-09,08:36,,527.0,26,26,0.1
G1,南京南,2026-08-09,10:13,2026-08-09,10:15,0.0,1015.0,25,25,2.3
G1,苏州北,2026-08-09,10:59,2026-08-09,11:01,3.0,1229.0,27,27,0.2
G1,上海虹桥,2026-08-09,11:24,,,4.0,1310.0,26,26,0.3
,,,,,,,,,,
D1,北京西,2026-08-09,17:58,2026-08-09,17:58,,0.0,34,34,0.0
D1,石家庄,2026-08-09,20:24,2026-08-09,20:30,,281.0,25,25,0.0
D1,郑州,2026-08-09,23:59,2026-08-10,00:05,-3.0,707.0,22,22,1.5
D1,武昌,2026-08-10,04:44,2026-08-10,04:50,-7.0,1243.0,25,25,0.4
D1,岳阳,2026-08-10,06:47,2026-08-10,06:51,-5.0,1458.0,23,23,0.7
D1,长沙,2026-08-10,08:16,,,-11.0,1605.0,23,23,0.7
,,,,,,,,,,
