车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量
G80,上海虹桥,2026-07-27,14:04,2026-07-27,14:04,0.0,0.0,34,34,0.0
G80,南京南,2026-07-27,15:05,2026-07-27,15:10,1.0,295.0,34,34,0.0
G81,徐州东,2026-07-27,16:19,2026-07-27,16:21,,626.0,33,33,0.0
G81,商丘,2026-07-27,17:05,2026-07-27,17:07,3.0,796.0,30,30,0.3
G81,开封北,2026-07-27,17:41,2026-07-27,17:43,3.0,934.0,29,29,0.4
G81,郑州东,2026-07-27,18:04,,,1.0,986.0,29,29,2.7
,,,,,,,,,,
G3726,广州,2026-07-27,08:42,2026-07-27,08:42,-1.0,0.0,25,25,1.1
G3726,佛山西,2026-07-27,09:04,2026-07-27,09:16,1.0,26.0,25,25,2.0
G3726,肇庆东,2026-07-27,09:35,2026-07-27,09:37,1.0,69.0,24,24,3.3
G3726,贺州,2026-07-27,10:24,2026-07-27,10:26,0.0,254.0,27,27,0.4
G3726,阳朔,2026-07-27,10:58,2026-07-27,11:04,0.0,372.0,29,29,1.4
G3726,桂林西,2026-07-27,11:24,2026-07-27,11:28,0.0,437.0,31,31,0.4
G3726,都匀东,2026-07-27,12:43,2026-07-27,12:48,,734.0,26,26,0.1
G3726,贵阳东,2026-07-27,13:23,2026-07-27,13:31,0.0,850.0,26,26,0.0
G3726,遵义,2026-07-27,14:18,2026-07-27,14:20,0.0,973.0,25,25,0.2
G3726,娄山关南,2026-07-27,14:34,2026-07-27,14:36,0.0,1003.0,24,24,0.0
G3726,重庆西,2026-07-27,15:43,2026-07-27,15:52,0.0,1194.0,35,35,0.0
G3726,重庆北,2026-07-27,16:17,2026-07-27,16:22,0.0,1224.0,35,35,0.0
G3726,梁平南,2026-07-27,17:14,2026-07-27,17:19,0.0,1404.0,32,32,0.3
G3726,万州北,2026-07-27,17:40,2026-07-27,17:44,,1469.0,34,34,0.0
G3726,云阳,2026-07-27,17:57,2026-07-27,17:59,0.0,1507.0,33,33,0.1
G3726,巫山,2026-07-27,18:33,,,1.0,1622.0,34,34,0.0
,,,,,,,,,,
G1,北京南,2026-07-27,06:30,2026-07-27,06:30,0.0,0.0,36,36,0.0
G1,沧州西,2026-07-27,07:18,2026-07-27,07:20,0.0,210.0,35,35,0.0
G1,德州东,2026-07-27,07:45,2026-07-27,07:47,-1.0,314.0,34,34,0.0
G1,曲阜东,2026-07-27,08:34,2026-07-27,08:36,,527.0,32,32,0.8
G1,南京南,2026-07-27,10:13,2026-07-27,10:15,0.0,1015.0,34,34,0.0
G1,苏州北,2026-07-27,10:59,2026-07-27,11:01,1.0,1229.0,34,34,0.0
G1,上海虹桥,2026-07-27,11:24,,,0.0,1310.0,34,34,0.0
,,,,,,,,,,
D1,北京西,2026-07-27,17:58,2026-07-27,17:58,0.0,0.0,36,36,0.0
D1,石家庄,2026-07-27,20:24,2026-07-27,20:30,0.0,281.0,33,33,0.0
D1,郑州,2026-07-27,23:59,2026-07-28,00:05,-1.0,707.0,29,29,2.7
D1,武昌,2026-07-28,04:44,2026-07-28,04:50,-14.0,1243.0,27,27,0.0
D1,岳阳,2026-07-28,06:47,2026-07-28,06:51,-1.0,1458.0,27,27,0.0
D1,长沙,2026-07-28,08:16,,,-9.0,1605.0,30,30,0.8
,,,,,,,,,,
