车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-07-26,14:04,2026-07-26,14:04,0.0,0.0,37.4,29.0,0.0,0.0,0.0,0.0,16.7,42.5,71.0,63.0,3,阴
G80,南京南,2026-07-26,15:05,2026-07-26,15:10,0.0,295.0,32.1,26.8,3.7,3.7,0.0,5.0,11.7,37.8,86.0,82.0,61,小雨
G81,徐州东,2026-07-26,16:19,2026-07-26,16:21,,626.0,33.1,23.2,14.9,14.9,0.0,11.0,11.0,43.2,66.0,87.0,63,中雨
G81,商丘,2026-07-26,17:05,2026-07-26,17:07,-1.0,796.0,33.6,22.4,13.7,13.7,0.0,11.0,16.0,53.6,61.0,80.0,65,大雨
G81,开封北,2026-07-26,17:41,2026-07-26,17:43,0.0,934.0,39.0,25.5,4.7,4.7,0.0,11.0,16.0,37.1,57.0,49.0,61,小雨
G81,郑州东,2026-07-26,18:04,,,-2.0,986.0,30.3,23.6,12.8,12.8,0.0,15.0,11.8,41.0,53.0,88.0,63,中雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-07-26,08:42,2026-07-26,08:42,0.0,0.0,28.4,25.2,34.4,34.4,0.0,17.0,29.4,60.5,100.0,87.0,63,中雨
G3726,佛山西,2026-07-26,09:04,2026-07-26,09:16,0.0,26.0,7.6,0.3,12.6,12.6,0.0,13.0,7.3,30.2,70.0,86.0,63,中雨
G3726,肇庆东,2026-07-26,09:35,2026-07-26,09:37,0.0,69.0,32.4,25.0,6.4,6.4,0.0,9.0,16.9,45.4,95.0,82.0,61,小雨
G3726,贺州,2026-07-26,10:24,2026-07-26,10:26,0.0,254.0,33.7,25.6,1.6,1.6,0.0,6.0,13.9,36.4,94.0,76.0,53,毛毛雨
G3726,阳朔,2026-07-26,10:58,2026-07-26,11:04,0.0,372.0,34.1,25.6,2.5,2.5,0.0,3.0,21.8,50.4,89.0,75.0,61,小雨
G3726,桂林西,2026-07-26,11:24,2026-07-26,11:28,0.0,437.0,34.4,25.9,3.1,3.1,0.0,3.0,10.6,34.9,91.0,79.0,61,小雨
G3726,都匀东,2026-07-26,12:43,2026-07-26,12:48,,734.0,31.5,23.2,6.2,6.2,0.0,7.0,13.4,31.7,30.0,83.0,63,中雨
G3726,贵阳东,2026-07-26,13:23,2026-07-26,13:31,0.0,850.0,30.6,19.8,0.8,0.8,0.0,2.0,13.1,31.7,86.0,72.0,53,毛毛雨
G3726,遵义,2026-07-26,14:18,2026-07-26,14:20,0.0,973.0,32.5,22.4,0.0,0.0,0.0,0.0,14.2,31.7,56.0,64.0,3,阴
G3726,娄山关南,2026-07-26,14:34,2026-07-26,14:36,0.0,1003.0,32.0,23.3,0.2,0.2,0.0,2.0,14.2,35.6,52.0,65.0,51,小毛毛雨
G3726,重庆西,2026-07-26,15:43,2026-07-26,15:52,0.0,1194.0,39.8,29.2,0.2,0.2,0.0,2.0,12.9,33.1,19.0,42.0,51,小毛毛雨
G3726,重庆北,2026-07-26,16:17,2026-07-26,16:22,-1.0,1224.0,39.8,29.2,0.2,0.2,0.0,2.0,12.9,33.1,19.0,42.0,51,小毛毛雨
G3726,梁平南,2026-07-26,17:14,2026-07-26,17:19,0.0,1404.0,35.4,25.6,0.0,0.0,0.0,0.0,11.5,25.2,18.0,58.0,3,阴
G3726,万州北,2026-07-26,17:40,2026-07-26,17:44,,1469.0,39.4,28.5,0.0,0.0,0.0,0.0,15.1,36.4,8.0,53.0,1,晴间多云
G3726,云阳,2026-07-26,17:57,2026-07-26,17:59,0.0,1507.0,32.2,26.9,4.8,4.8,0.0,5.0,14.7,29.2,85.0,82.0,63,中雨
